id;client_id;name;company;status
1;17974;generating Generic heuristic;program orchid Investment Account;ACTIVE
2;24404;firmware index mission-critical;Music functionalities Implementation;ACTIVE
3;73750;Licensed Rubber Bacon relationsh;dedicated;DEACTIVE
4;79742;azure Soft Villages;JBOD;ACTIVE
5;30824;Lilangeni;Awesome Steel Tuna;DEACTIVE
6;32133;protocol;quantifying Handmade;ACTIVE
7;59260;Chicken plum Accounts;multi-tasking calculate initiatives;ACTIVE
8;78489;Auto Loan Account invoice;Tuna;ACTIVE
9;11081;Auto Loan Account revolutionary ;application;DEACTIVE
10;18178;relationships Towels;AGP;ACTIVE
