id;client_id;name;code;description;status
1;50449;Grocery Berkshire customer loyal;Applications;Global;DEACTIVE
2;37993;Lao People's Democratic Republic;deposit silver;supply-chains hard drive;ACTIVE
3;5302;systemic e-tailers;China Brand Cred;Towels;ACTIVE
4;1643;innovate Cote d'Ivoire;invoice;Stream;DEACTIVE
5;99534;partnerships intermediate compre;frictionless;hub Agent Multi-channelled;ACTIVE
6;74335;Triple-buffered Tools;Corporate;Associate;DEACTIVE
7;62505;Locks Hawaii;invoice solution;program Pizza;ACTIVE
8;28047;Practical;grid-enabled;hacking copy;ACTIVE
9;41217;Down-sized;Wisconsin;Home Loan Account;ACTIVE
10;63225;Singapore Dollar driver;B2C;EXE;DEACTIVE
